"Week","Hyde Park purse snatchings in Chicago 28 day periods"
"1969-W02",10
"1969-W06",15
"1969-W10",10
"1969-W14",10
"1969-W18",12
"1969-W22",10
"1969-W26",7
"1969-W30",7
"1969-W34",10
"1969-W38",14
"1969-W42",8
"1969-W46",17
"1969-W50",14
"1970-W02",18
"1970-W06",3
"1970-W10",9
"1970-W14",11
"1970-W18",10
"1970-W22",6
"1970-W26",12
"1970-W30",14
"1970-W34",10
"1970-W38",25
"1970-W42",29
"1970-W46",33
"1970-W50",33
"1971-W02",12
"1971-W06",19
"1971-W10",16
"1971-W14",19
"1971-W18",19
"1971-W22",12
"1971-W26",34
"1971-W30",15
"1971-W34",36
"1971-W38",29
"1971-W42",26
"1971-W46",21
"1971-W50",17
"1972-W02",19
"1972-W06",13
"1972-W10",20
"1972-W14",24
"1972-W18",12
"1972-W22",6
"1972-W26",14
"1972-W30",6
"1972-W34",12
"1972-W38",9
"1972-W42",11
"1972-W46",17
"1972-W50",12
"1973-W02",8
"1973-W06",14
"1973-W10",14
"1973-W14",12
"1973-W18",5
"1973-W22",8
"1973-W26",10
"1973-W30",3
"1973-W34",16
"1973-W38",8
"1973-W42",8
"1973-W46",7
"1973-W50",12
"1974-W02",6
"1974-W06",10
"1974-W10",8
"1974-W14",10
"1974-W18",5
"1974-W22",7

Hyde Park purse snatchings in Chicago 28 day periods

